4886315,0
4886323,0
4886339,0
4886348,0
4886373,0
4886398,0
4886423,0
4886448,0
4886473,0
4886498,0
4886523,0
4886548,0
4886573,0
4886589,0
4886598,0
4886623,0
4886639,0
4886648,0
4886673,0
4886698,0
4886723,0
4886748,0
4886773,0
4886798,0
4886823,0
4886848,0
4886864,0
4886873,0
4886898,0
4886923,0
4886948,0
4886973,0
4887148,5
4887173,5
4887198,5
4887223,5
4887239,5
4887248,5
4887273,5
4887289,5
4887298,5
4887386,5
4887394,5
4887419,5
4887444,5
4887469,5
4887494,5
4887510,5
4887519,5
4887535,5
4887544,5
4887560,5
4887569,5
4887585,5
4887594,5
4887619,5
4887644,5
4887669,5
4887694,5
4887719,5
4887744,5
4887760,5
4887769,5
4887785,5
4887794,5
4887819,5
4887835,5
4887844,5
4887869,5
4887894,0
4887919,0
4887935,5
4887944,5
4887969,5
4887985,5
4887994,5
4888019,5
4888035,5
4888044,5
4888060,5
4888069,5
4888094,5
4888110,5
4888119,0
4888135,0
4888144,5
4888160,5
4888169,5
4888194,5
4888219,0
4888244,5
4888260,5
4888269,5
4888294,5
4888310,5
4888319,5
4888344,5
4888369,5
4888465,5
4888490,5
4888515,5
4888540,0
4888556,0
4888565,5
4888590,5
4888606,5
4888615,0
4888631,0
4888640,5
4888665,5
4888681,5
4888690,5
4888715,5
4888740,5
4888765,5
4888790,5
4888815,5
4888840,5
4888865,5
4888890,5
4888906,5
4888915,5
4888940,5
4888965,5
4888990,5
4889006,5
4889015,5
4889040,5
4889065,5
4889090,5
4889115,0
4889140,5
4889165,5
4889181,5
4889190,5
4889215,5
4889231,5
4889240,5
4889265,5
4889281,5
4889290,5
4889315,5
4889331,5
4889340,5
4889365,5
4889390,5
4889415,5
4889431,5
4889440,5
4889528,5
4889536,5
4889552,5
4889561,5
4889577,5
4889602,5
4889627,5
4889636,5
4889652,5
4889661,5
4889677,5
4889686,5
4889702,5
4889711,5
4889727,5
4889736,5
4889752,5
4889761,5
4889777,5
4889802,5
4889811,5
4889827,5
4889836,5
4889852,5
4889861,5
4889877,5
4889886,5
4889902,5
4889911,5
4889927,5
4889936,5
4890077,5
4890086,5
4890102,5
4890111,5
4890127,5
4890136,5
4890152,5
4890161,5
4890177,5
4890186,5
4890202,5
4890211,5
4890227,5
4890236,5
4890252,5
4890261,0
4890277,0
4890286,0
4890302,0
4890311,0
4890327,0
4890336,5
4890352,5
4890361,5
4890377,5
4890386,5
4890402,5
4890411,5
4890427,5
4890452,5
4890461,5
4890477,5
4890486,5
4890502,5
4890511,5
4890704,5
4890712,5
4890728,5
4890737,5
4890753,1
4890762,1
4890778,1
4890787,1
4890803,1
4890812,1
4890828,1
4890837,1
4890853,1
4890862,1
4890878,1
4890887,1
4890903,1
4890912,1
4890928,1
4890937,1
4890953,1
4890962,1
4890978,1
4890987,1
4891003,1
4891012,1
4891028,1
4891037,1
4891053,1
4891062,1
4891078,1
4891112,1
4891128,1
4891137,1
4891153,1
4891162,1
4891187,1
4891203,2
4891220,2
4891228,3
4891237,3
4891262,3
4891287,3
4891312,3
4891337,3
4891362,3
4891378,2
4891395,2
4891412,2
4891437,3
4891453,3
4891462,2
4891487,2
4891503,3
4891528,3
4891537,3
4891553,3
4891562,3
4891587,3
4891603,3
4891612,3
4891637,3
4891653,2
4891662,2
4891678,2
4891687,3
4892009,5
4892034,5
4892059,5
4892275,5
4892284,5
4892300,5
4892309,5
4892325,5
4892334,5
4892359,5
4892375,5
4892384,5
4892400,5
4892409,5
