0.618,0.008,0.002,0.012,0.000,0.011,0.009
0.006,0.667,0.108,0.015,0.002,0.005,0.000
0.011,0.119,0.617,0.039,0.007,0.010,0.000
0.021,0.014,0.042,0.565,0.014,0.016,0.007
0.009,0.047,0.073,0.142,0.911,0.042,0.024
0.324,0.142,0.158,0.227,0.063,0.905,0.256
0.012,0.003,0.000,0.000,0.002,0.011,0.704
